i  symbol  | frequency | timestamp  |        open        |        high
|        low         |       close        |  prediction  | trainmodel
----------+-----------+------------+--------------------+--------------------
+--------------------+--------------------+--------------+------------
| 331.98535503802464 |  348.1819206256579 | ARIMA        | ACO
 GOOGL.US | D         | 2026-07-20 | 347.95605964073025 | 364.93178780482356
| 331.77000054995784 | 347.95605964073025 | LIGHTGBM     | ACO
 GOOGL.US | D         | 2026-07-20 |  348.4636303760417 | 365.46412138759223
|     332.2539603445 |  348.4636303760417 | XGBOOST      | ACO
 GOOGL.US | D         | 2026-07-20 | 346.73654553378935 | 358.98565835095224
| 339.75492196504405 | 346.73654553378935 | QUANTILE     | ACO
 GOOGL.US | D         | 2026-07-20 | 348.19968511887146 | 365.18729903628383
|   332.002293170757 | 348.19968511887146 | ENSEMBLE     | ACO
 GOOGL.US | D         | 2026-07-20 |  349.0008206093697 |  366.0275195144767
|  332.7661618109458 |  349.0008206093697 | THETA        | ACO
 GOOGL.US | D         | 2026-07-20 |  348.2617516203396 | 365.25239357542466
| 332.06147249140884 |  348.2617516203396 | RANDOMFOREST | ACO
 GOOGL.US | D         | 2026-07-20 |  349.2237637861536 | 366.26133941738806
| 332.97873422011884 |  349.2237637861536 | KALMAN       | ACO
 GOOGL.US | D         | 2026-07-20 |  349.1170126140389 | 366.14938017710267
|  332.8769488496678 |  349.1170126140389 | ELASTICNET   | ACO
 GOOGL.US | D         | 2026-07-20 |  352.0853899516412 |  369.2625757047478
|  335.7072445828292 |  352.0853899516412 | ARIMA        | CMA-ES
 GOOGL.US | D         | 2026-07-20 |  348.4636303760417 | 365.46412138759223
|     332.2539603445 |  348.4636303760417 | XGBOOST      | CMA-ES
 GOOGL.US | D         | 2026-07-20 | 347.95605964073025 | 364.93178780482356
| 331.77000054995784 | 347.95605964073025 | LIGHTGBM     | CMA-ES
 GOOGL.US | D         | 2026-07-20 | 349.23020122653935 | 366.26809092110176
| 332.98487220662935 | 349.23020122653935 | ENSEMBLE     | CMA-ES
 GOOGL.US | D         | 2026-07-20 |  348.4636303760417 | 365.46412138759223
|     332.2539603445 |  348.4636303760417 | XGBOOST      | PSO
 GOOGL.US | D         | 2026-07-20 |  349.0008206093697 |  366.0275195144767
|  332.7661618109458 |  349.0008206093697 | THETA        | CMA-ES
 GOOGL.US | D         | 2026-07-20 |  349.2237637861536 | 366.26133941738806
| 332.97873422011884 |  349.2237637861536 | KALMAN       | CMA-ES
 GOOGL.US | D         | 2026-07-20 |  348.2617516203396 | 365.25239357542466
| 332.06147249140884 |  348.2617516203396 | RANDOMFOREST | CMA-ES
 GOOGL.US | D         | 2026-07-20 |  349.1170126140389 | 366.14938017710267
|  332.8769488496678 |  349.1170126140389 | ELASTICNET   | CMA-ES
 GOOGL.US | D         | 2026-07-20 |  349.2727949710478 | 366.31276268611947
|  333.0254845950257 |  349.2727949710478 | ARIMA        | NELDERMEAD
 GOOGL.US | D         | 2026-07-20 |  348.4636303760417 | 365.46412138759223
|     332.2539603445 |  348.4636303760417 | XGBOOST      | NELDERMEAD
 GOOGL.US | D         | 2026-07-20 | 346.73654553378935 | 358.98565835095224
| 339.75492196504405 | 346.73654553378935 | QUANTILE     | NELDERMEAD
 GOOGL.US | D         | 2026-07-20 | 347.95605964073025 | 364.93178780482356
| 331.77000054995784 | 347.95605964073025 | LIGHTGBM     | NELDERMEAD
 GOOGL.US | D         | 2026-07-20 |  349.0008206093697 |  366.0275195144767
|  332.7661618109458 |  349.0008206093697 | THETA        | NELDERMEAD
 GOOGL.US | D         | 2026-07-20 |  349.2237637861536 | 366.26133941738806
| 332.97873422011884 |  349.2237637861536 | KALMAN       | NELDERMEAD
 GOOGL.US | D         | 2026-07-20 |  348.2617516203396 | 365.25239357542466
| 332.06147249140884 |  348.2617516203396 | RANDOMFOREST | NELDERMEAD
 GOOGL.US | D         | 2026-07-20 | 347.50085639661813 | 364.45437656542765
|  331.3359722398737 | 347.50085639661813 | ARIMA        | BAYESOPT
 GOOGL.US | D         | 2026-07-20 |  349.1170126140389 | 366.14938017710267
|  332.8769488496678 |  349.1170126140389 | ELASTICNET   | NELDERMEAD
